004059a6	004059a0	004059d0	          COutputWnd::_scalar_deleting_destructor_	COutputWnd::_COutputWnd
00405c06	00405a80	00405c90	                              COutputWnd::OnCreate	COutputWnd::FillBuildWindow
00405c0b	00405a80	00405ce0	                              COutputWnd::OnCreate	COutputWnd::FillDebugWindow
00405c10	00405a80	00405d30	                              COutputWnd::OnCreate	COutputWnd::FillFindWindow
0040462d	00404610	00405d80	                       CMainFrame::OnSettingChange	COutputWnd::UpdateFonts
00405b72	00405a80	00405d80	                              COutputWnd::OnCreate	COutputWnd::UpdateFonts
004037de	00403630	00406030	                            CMainFrame::CMainFrame	CPropertiesWnd::CPropertiesWnd
00406444	00406370	00406590	                          CPropertiesWnd::OnCreate	CPropertiesWnd::InitPropList
004065bb	00406590	00407670	                      CPropertiesWnd::InitPropList	CPropertiesWnd::SetPropListFont
00407666	00407650	00407670	                   CPropertiesWnd::OnSettingChange	CPropertiesWnd::SetPropListFont
004088a8	00408880	004078a4	           type_info::_vector_deleting_destructor_	??3@YAXPAX@Z_0
004088bf	00408880	004078a4	           type_info::_vector_deleting_destructor_	??3@YAXPAX@Z_0
00408ff2	00408fc0	004078a4	          _com_error::_scalar_deleting_destructor_	??3@YAXPAX@Z_0
00409011	0040900c	00407bd4	                                     AfxInitialize	?AfxGetModuleState@@YGPAVAFX_MODULE_STATE@@XZ_0
0040887b	00408876	004085eb	                                wWinMainCRTStartup	__tmainCRTStartup
00408706	004085eb	00408757	                                 __tmainCRTStartup	$LN50
00408710	004085eb	00408757	                                 __tmainCRTStartup	$LN50
0040877e	004085eb	0040877f	                                 __tmainCRTStartup	$LN45
0040874e	004085eb	0040879c	                                 __tmainCRTStartup	$LN51
00408793	004085eb	0040879c	                                 __tmainCRTStartup	$LN51
00408975	0040896d	004088cc	                                            atexit	_onexit_0
004085a5	004085a0	0040896d	                                      pre_cpp_init	atexit
00409d3f	00409ce0	0040896d	                _dynamic_initializer_for__theApp__	atexit
00409d75	00409d60	0040896d	_dynamic_initializer_for___afxDefaultAcceleratorDelimiter__	atexit
00408a45	004089e8	0040898a	                   _eh_vector_destructor_iterator_	__ArrayUnwind
0040889c	00408880	004089e8	           type_info::_vector_deleting_destructor_	_eh_vector_destructor_iterator_
004085e4	004085a0	00408a9c	                                      pre_cpp_init	__amsg_exit
00408661	004085eb	00408a9c	                                 __tmainCRTStartup	__amsg_exit
0040883d	004087bc	00408aa2	                                        pre_c_init	_RTC_Initialize
00408778	004085eb	00408aee	                                 __tmainCRTStartup	__XcptFilter
00408bd1	00408b90	00408b00	                      _IsNonwritableInCurrentImage	_ValidateImageBase
00408beb	00408b90	00408b40	                      _IsNonwritableInCurrentImage	_FindPESection
004086e2	004085eb	00408b90	                                 __tmainCRTStartup	_IsNonwritableInCurrentImage
004086b7	004085eb	00408c4c	                                 __tmainCRTStartup	__initterm
00408682	004085eb	00408c52	                                 __tmainCRTStartup	__initterm_e
004085f2	004085eb	00408c60	                                 __tmainCRTStartup	__SEH_prolog4
004088d3	004088cc	00408c60	                                         _onexit_0	__SEH_prolog4
00408991	0040898a	00408c60	                                     __ArrayUnwind	__SEH_prolog4
004089ef	004089e8	00408c60	                   _eh_vector_destructor_iterator_	__SEH_prolog4
004087b6	004085eb	00408ca5	                                 __tmainCRTStartup	__SEH_epilog4
0040895e	004088cc	00408ca5	                                         _onexit_0	__SEH_epilog4
004089e0	0040898a	00408ca5	                                     __ArrayUnwind	__SEH_epilog4
00408a2b	004089e8	00408ca5	                   _eh_vector_destructor_iterator_	__SEH_epilog4
00408b9c	00408b90	00408cb9	                      _IsNonwritableInCurrentImage	_except_handler4
0040885c	004087bc	00408cde	                                        pre_c_init	_setdefaultprecision
00408842	004087bc	00408d06	                                        pre_c_init	_matherr
00408850	004087bc	00408d06	                                        pre_c_init	_matherr
00408966	004088cc	00408da4	                                         _onexit_0	__unlock
00408930	004088cc	00408daa	                                         _onexit_0	___dllonexit
004088fc	004088cc	00408db0	                                         _onexit_0	__lock
004089d1	0040898a	00408db6	                                     __ArrayUnwind	?terminate@@YAXXZ_0
00408a82	00408a4b	00408db6	                     __CxxUnhandledExceptionFilter	?terminate@@YAXXZ_0
00408cca	00408cb9	00408dbc	                                  _except_handler4	__security_check_cookie
00408cd4	00408cb9	00408dcc	                                  _except_handler4	__except_handler4_common
00408cff	00408cde	00408dd2	                              _setdefaultprecision	__invoke_watson
00408cee	00408cde	00408dd8	                              _setdefaultprecision	__controlfp_s
004088b3	00408880	00408dde	           type_info::_vector_deleting_destructor_	??1type_info@@UAE@XZ
0040888f	00408880	00408dde	           type_info::_vector_deleting_destructor_	??1type_info@@UAE@XZ
00408dc6	00408dbc	00408de4	                           __security_check_cookie	__report_gsfailure
00408eac	00408de4	00408eea	                                __report_gsfailure	__crt_debugger_hook
00408ed0	00408de4	00408eea	                                __report_gsfailure	__crt_debugger_hook
00406871	00406590	00408ef0	                      CPropertiesWnd::InitPropList	_com_issue_error
00407337	00406590	00408ef0	                      CPropertiesWnd::InitPropList	_com_issue_error
0040743f	00406590	00408ef0	                      CPropertiesWnd::InitPropList	_com_issue_error
00407538	00406590	00408ef0	                      CPropertiesWnd::InitPropList	_com_issue_error
00408efb	00408ef0	00408f40	                                  _com_issue_error	_com_raise_error
0040873e	004085eb	00409001	                                 __tmainCRTStartup	_wWinMain@16
00409d83	00409d7c	0040900c	      _dynamic_initializer_for___afxInitAppState__	AfxInitialize
00408f6b	00408f40	0040902a	                                  _com_raise_error	__CxxThrowException@8
00409041	00409030	00409060	                                  _alloca_probe_16	_chkstk
00409057	00409046	00409060	                                  __alloca_probe_8	_chkstk
0040906f	00409060	00409074	                                           _chkstk	cs10
00409089	00409060	00409074	                                           _chkstk	cs10
00409076	00409060	00409082	                                           _chkstk	cs20
00409007	00409001	0040908c	                                      _wWinMain@16	?AfxWinMain@@YGHPAUHINSTANCE__@@0PA_WH@Z_0
004090d9	004090d4	00409092	                       COutputWnd::_COutputWnd_SEH	___CxxFrameHandler3
004090ed	004090e8	00409092	CDocument::CDocumentAdapter::_scalar_deleting_destructor__SEH	___CxxFrameHandler3
0040910e	00409109	00409092	                     CnotepadApp::PreLoadState_SEH	___CxxFrameHandler3
00409155	00409150	00409092	             CnotepadApp::OnMyFileOpenAndParse_SEH	___CxxFrameHandler3
00409180	0040917b	00409092	                        CnotepadApp::ParseFile_SEH	___CxxFrameHandler3
0040919e	00409199	00409092	                     CWaitCursor::_CWaitCursor_SEH	___CxxFrameHandler3
004091be	004091b9	00409092	                         CMainFrame::LoadFrame_SEH	___CxxFrameHandler3
004091de	004091d9	00409092	                CMainFrame::OnToolbarCreateNew_SEH	___CxxFrameHandler3
00409219	00409214	00409092	              CMainFrame::CreateDockingWindows_SEH	___CxxFrameHandler3
0040922e	00409229	00409092	                       CGdiObject::_CGdiObject_SEH	___CxxFrameHandler3
00409279	00409274	00409092	               CPropertiesWnd::_CPropertiesWnd_SEH	___CxxFrameHandler3
004092b9	004092b4	00409092	                CPropertiesWnd::CPropertiesWnd_SEH	___CxxFrameHandler3
004092ce	004092c9	00409092	                          COutputWnd::OnCreate_SEH	___CxxFrameHandler3
004092ed	004092e8	00409092	                    CnotepadView::CreateObject_SEH	___CxxFrameHandler3
0040931d	00409318	00409092	                     CnotepadApp::OnMyFileOpen_SEH	___CxxFrameHandler3
0040933a	00409335	00409092	                 CMainFrame::OnApplicationLook_SEH	___CxxFrameHandler3
0040934e	00409349	00409092	                            CFileView::OnPaint_SEH	___CxxFrameHandler3
0040938b	00409386	00409092	                         CFileView::_CFileView_SEH	___CxxFrameHandler3
004093a5	004093a0	00409092	                     CClassView::OnContextMenu_SEH	___CxxFrameHandler3
004093da	004093d5	00409092	                       CClassView::_CClassView_SEH	___CxxFrameHandler3
0040992c	00409927	00409092	                  CPropertiesWnd::InitPropList_SEH	___CxxFrameHandler3
00409955	00409950	00409092	                    COutputList::OnContextMenu_SEH	___CxxFrameHandler3
00409965	00409960	00409092	                         CDocument::GetAdapter_SEH	___CxxFrameHandler3
0040998c	00409987	00409092	                         CAboutDlg::_CAboutDlg_SEH	___CxxFrameHandler3
004099bc	004099b7	00409092	       CAboutDlg::_scalar_deleting_destructor__SEH	___CxxFrameHandler3
004099ef	004099ea	00409092	                          CMainFrame::OnCreate_SEH	___CxxFrameHandler3
00409af3	00409aee	00409092	                       CMainFrame::_CMainFrame_SEH	___CxxFrameHandler3
00409c01	00409bfc	00409092	                        CMainFrame::CMainFrame_SEH	___CxxFrameHandler3
00409c36	00409c31	00409092	                       CnotepadApp::OnAppAbout_SEH	___CxxFrameHandler3
00409c67	00409c62	00409092	                     CnotepadApp::InitInstance_SEH	___CxxFrameHandler3
00409c8b	00409c86	00409092	                          CClassView::OnCreate_SEH	___CxxFrameHandler3
00409c9d	00409c98	00409092	                CFileView::OnChangeVisualStyle_SEH	___CxxFrameHandler3
00409cc0	00409cbb	00409092	            _dynamic_initializer_for__theApp___SEH	___CxxFrameHandler3
004028ca	004028c0	00409098	              CComCtlWrapper::_ImageList_AddMasked	__except_handler3
004059d5	004059d0	004090d4	                           COutputWnd::_COutputWnd	COutputWnd::_COutputWnd_SEH
00405515	00405510	004090e8	CDocument::CDocumentAdapter::_scalar_deleting_destructor_	CDocument::CDocumentAdapter::_scalar_deleting_destructor__SEH
004052d5	004052d0	00409109	                         CnotepadApp::PreLoadState	CnotepadApp::PreLoadState_SEH
00404f38	00404f30	00409150	                 CnotepadApp::OnMyFileOpenAndParse	CnotepadApp::OnMyFileOpenAndParse_SEH
00404d25	00404d20	0040917b	                            CnotepadApp::ParseFile	CnotepadApp::ParseFile_SEH
00404695	00404690	00409199	                         CWaitCursor::_CWaitCursor	CWaitCursor::_CWaitCursor_SEH
0040455e	00404550	004091b9	                             CMainFrame::LoadFrame	CMainFrame::LoadFrame_SEH
0040431e	00404310	004091d9	                    CMainFrame::OnToolbarCreateNew	CMainFrame::OnToolbarCreateNew_SEH
00403f25	00403f20	00409214	                  CMainFrame::CreateDockingWindows	CMainFrame::CreateDockingWindows_SEH
004029f5	004029f0	00409229	                           CGdiObject::_CGdiObject	CGdiObject::_CGdiObject_SEH
004060d5	004060d0	00409274	      CPropertiesWnd::_scalar_deleting_destructor_	CPropertiesWnd::_CPropertiesWnd_SEH
004061b5	004061b0	00409274	                   CPropertiesWnd::_CPropertiesWnd	CPropertiesWnd::_CPropertiesWnd_SEH
0040603b	00406030	004092b4	                    CPropertiesWnd::CPropertiesWnd	CPropertiesWnd::CPropertiesWnd_SEH
00405a8e	00405a80	004092c9	                              COutputWnd::OnCreate	COutputWnd::OnCreate_SEH
00401005	00401000	004092e8	                         CChildFrame::CreateObject	CnotepadView::CreateObject_SEH
004011d5	004011d0	004092e8	                CClassViewMenuButton::CreateObject	CnotepadView::CreateObject_SEH
00401ef5	00401ef0	004092e8	            CMFCToolBarMenuButton::CreatePopupMenu	CnotepadView::CreateObject_SEH
00402405	00402400	004092e8	                    CMFCVisualManager::GetInstance	CnotepadView::CreateObject_SEH
00404295	00404290	004092e8	                       CMainFrame::OnViewCustomize	CnotepadView::CreateObject_SEH
00405435	00405430	004092e8	                         CnotepadDoc::CreateObject	CnotepadView::CreateObject_SEH
00405845	00405840	004092e8	                        CnotepadView::CreateObject	CnotepadView::CreateObject_SEH
00404e38	00404e30	00409318	                         CnotepadApp::OnMyFileOpen	CnotepadApp::OnMyFileOpen_SEH
004043ab	004043a0	00409335	                     CMainFrame::OnApplicationLook	CMainFrame::OnApplicationLook_SEH
00401ca8	00401ca0	00409349	                               CClassView::OnPaint	CFileView::OnPaint_SEH
004032d8	004032d0	00409349	                                CFileView::OnPaint	CFileView::OnPaint_SEH
00402b75	00402b70	00409386	           CFileView::_scalar_deleting_destructor_	CFileView::_CFileView_SEH
00402c05	00402c00	00409386	                             CFileView::_CFileView	CFileView::_CFileView_SEH
00401908	00401900	004093a0	                         CClassView::OnContextMenu	CClassView::OnContextMenu_SEH
00401255	00401250	004093d5	          CClassView::_scalar_deleting_destructor_	CClassView::_CClassView_SEH
004012e5	004012e0	004093d5	                           CClassView::_CClassView	CClassView::_CClassView_SEH
00406595	00406590	00409927	                      CPropertiesWnd::InitPropList	CPropertiesWnd::InitPropList_SEH
00405e45	00405e40	00409950	                        COutputList::OnContextMenu	COutputList::OnContextMenu_SEH
00405775	00405770	00409960	                             CDocument::GetAdapter	CDocument::GetAdapter_SEH
004051ab	004051a0	00409987	                             CAboutDlg::_CAboutDlg	CAboutDlg::_CAboutDlg_SEH
00405125	00405120	004099b7	           CAboutDlg::_scalar_deleting_destructor_	CAboutDlg::_scalar_deleting_destructor__SEH
004039fe	004039f0	004099ea	                              CMainFrame::OnCreate	CMainFrame::OnCreate_SEH
00403855	00403850	00409aee	                           CMainFrame::_CMainFrame	CMainFrame::_CMainFrame_SEH
00403635	00403630	00409bfc	                            CMainFrame::CMainFrame	CMainFrame::CMainFrame_SEH
00405228	00405220	00409c31	                           CnotepadApp::OnAppAbout	CnotepadApp::OnAppAbout_SEH
00404a65	00404a60	00409c62	                         CnotepadApp::InitInstance	CnotepadApp::InitInstance_SEH
0040137e	00401370	00409c86	                              CClassView::OnCreate	CClassView::OnCreate_SEH
00401d95	00401d90	00409c98	                   CClassView::OnChangeVisualStyle	CFileView::OnChangeVisualStyle_SEH
004033c5	004033c0	00409c98	                    CFileView::OnChangeVisualStyle	CFileView::OnChangeVisualStyle_SEH
00409ceb	00409ce0	00409cbb	                _dynamic_initializer_for__theApp__	_dynamic_initializer_for__theApp___SEH
00409d3a	00409ce0	00409d90	                _dynamic_initializer_for__theApp__	_dynamic_atexit_destructor_for__theApp__
00409d70	00409d60	00409da0	_dynamic_initializer_for___afxDefaultAcceleratorDelimiter__	_dynamic_atexit_destructor_for___afxDefaultAcceleratorDelimiter__
00404a92	00404a60	0040a000	                         CnotepadApp::InitInstance	__imp__InitCommonControlsEx@4
00404a92	00404a60	0040a000	                         CnotepadApp::InitInstance	__imp__InitCommonControlsEx@4
0040768d	00407670	0040a008	                   CPropertiesWnd::SetPropListFont	__imp__DeleteObject@4
0040768d	00407670	0040a008	                   CPropertiesWnd::SetPropListFont	__imp__DeleteObject@4
004076ec	00407670	0040a00c	                   CPropertiesWnd::SetPropListFont	__imp__CreateFontIndirectW@4
004076ec	00407670	0040a00c	                   CPropertiesWnd::SetPropListFont	__imp__CreateFontIndirectW@4
00406c4e	00406590	0040a010	                      CPropertiesWnd::InitPropList	__imp__GetStockObject@4
00406c4e	00406590	0040a010	                      CPropertiesWnd::InitPropList	__imp__GetStockObject@4
00401e0f	00401d90	0040a014	                   CClassView::OnChangeVisualStyle	__imp__GetObjectW@12
00403477	004033c0	0040a014	                    CFileView::OnChangeVisualStyle	__imp__GetObjectW@12
00406c68	00406590	0040a014	                      CPropertiesWnd::InitPropList	__imp__GetObjectW@12
004076a7	00407670	0040a014	                   CPropertiesWnd::SetPropListFont	__imp__GetObjectW@12
00401e0f	00401d90	0040a014	                   CClassView::OnChangeVisualStyle	__imp__GetObjectW@12
00403477	004033c0	0040a014	                    CFileView::OnChangeVisualStyle	__imp__GetObjectW@12
00406c68	00406590	0040a014	                      CPropertiesWnd::InitPropList	__imp__GetObjectW@12
004076a7	00407670	0040a014	                   CPropertiesWnd::SetPropListFont	__imp__GetObjectW@12
00402998	004028c0	0040a01c	              CComCtlWrapper::_ImageList_AddMasked	__imp__DeactivateActCtx@8
00402998	004028c0	0040a01c	              CComCtlWrapper::_ImageList_AddMasked	__imp__DeactivateActCtx@8
00408f32	00408f10	0040a020	                           _com_error::__com_error	__imp__LocalFree@4
00408fe5	00408fc0	0040a020	          _com_error::_scalar_deleting_destructor_	__imp__LocalFree@4
00408f32	00408f10	0040a020	                           _com_error::__com_error	__imp__LocalFree@4
00408fe5	00408fc0	0040a020	          _com_error::_scalar_deleting_destructor_	__imp__LocalFree@4
00408d54	00408d09	0040a024	                            __security_init_cookie	__imp__GetCurrentThreadId@0
00408d54	00408d09	0040a024	                            __security_init_cookie	__imp__GetCurrentThreadId@0
00402986	004028c0	0040a028	              CComCtlWrapper::_ImageList_AddMasked	__imp__GetLastError@0
00402986	004028c0	0040a028	              CComCtlWrapper::_ImageList_AddMasked	__imp__GetLastError@0
00408e9f	00408de4	0040a02c	                                __report_gsfailure	__imp__IsDebuggerPresent@0
00408e9f	00408de4	0040a02c	                                __report_gsfailure	__imp__IsDebuggerPresent@0
00408ebf	00408de4	0040a030	                                __report_gsfailure	__imp__UnhandledExceptionFilter@4
